"ST","ASP","GLN","GLT","GLY","PGM","TKT","UNC","Source","UR_num","UR_bool","SampledDate","Number","Label","Year","month","YearMonth"
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2007-01-08,2,"Ruminants",2007,1,25
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2006-12-27,2,"Ruminants",2006,12,24
3799,1,4,2,348,6,3,17,"Cattle",NA,NA,2006-12-18,2,"Ruminants",2006,12,24
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2006-12-18,2,"Ruminants",2006,12,24
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2006-05-01,2,"Ruminants",2006,5,17
3232,32,39,30,82,104,324,17,"Sheep",NA,NA,2006-12-11,2,"Ruminants",2006,12,24
190,2,1,5,3,2,3,5,"Cattle",NA,NA,2006-12-06,2,"Ruminants",2006,12,24
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2006-12-06,2,"Ruminants",2006,12,24
2340,1,45,2,4,6,3,17,"Sheep",NA,NA,2006-12-06,2,"Ruminants",2006,12,24
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2006-05-01,2,"Ruminants",2006,5,17
3072,33,39,30,82,104,173,68,"Cattle",NA,NA,2006-11-20,2,"Ruminants",2006,11,23
1115,53,39,30,81,118,44,36,"Cattle",NA,NA,2006-11-06,2,"Ruminants",2006,11,23
3711,1,2,4,62,4,5,17,"Sheep",NA,NA,2006-11-06,2,"Ruminants",2006,11,23
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2006-10-30,2,"Ruminants",2006,10,22
3072,33,39,30,82,104,173,68,"Sheep",NA,NA,2011-07-21,2,"Ruminants",2011,7,79
2350,2,4,1,2,2,5,5,"Cattle",NA,NA,2006-10-30,2,"Ruminants",2006,10,22
393,24,17,2,10,23,68,5,"Sheep",NA,NA,2011-07-21,2,"Ruminants",2011,7,79
2397,184,39,30,82,113,43,17,"Sheep",NA,NA,2011-07-21,2,"Ruminants",2011,7,79
436,7,21,5,62,4,61,44,"Sheep",NA,NA,2011-07-16,2,"Ruminants",2011,7,79
3222,33,283,44,82,189,44,17,"Sheep",NA,NA,2011-07-16,2,"Ruminants",2011,7,79
3222,33,283,44,82,189,44,17,"Sheep",NA,NA,2011-07-16,2,"Ruminants",2011,7,79
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2011-07-12,2,"Ruminants",2011,7,79
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2011-05-22,2,"Ruminants",2011,5,77
436,7,21,5,62,4,61,44,"Sheep",NA,NA,2011-05-22,2,"Ruminants",2011,5,77
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2011-05-22,2,"Ruminants",2011,5,77
422,2,1,5,3,2,5,5,"Cattle",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
5656,8,10,149,2,11,12,17,"Cattle",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
5655,1,1,21,3,2,1,5,"Cattle",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
1525,2,59,4,27,128,7,23,"Cattle",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
5656,8,10,149,2,11,12,17,"Cattle",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
3222,33,283,44,82,189,44,17,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
2340,1,45,2,4,6,3,17,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
436,7,21,5,62,4,61,44,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
436,7,21,5,62,4,61,44,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
4011,1,313,3,4,5,9,3,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
5656,8,10,149,2,11,12,17,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
53,2,1,21,3,2,1,5,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
3072,33,39,30,82,104,173,68,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
2357,1,14,2,2,6,3,17,"Cattle",NA,NA,2011-05-21,2,"Ruminants",2011,5,77
3232,32,39,30,82,104,324,17,"Sheep",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
3232,32,39,30,82,104,324,17,"Sheep",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
45,4,7,10,4,1,7,1,"Cattle",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
10088,4,7,10,4,788,7,1,"Sheep",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
5654,8,10,149,2,104,12,6,"Cattle",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
