"ST","ASP","GLN","GLT","GLY","PGM","TKT","UNC","Source","Location","Intervention"
45,4,7,10,4,1,7,1,"Other",NA,NA
696,2,1,4,28,58,25,58,"Other",NA,NA
696,2,1,4,28,58,25,58,"Other",NA,NA
520,2,1,12,88,2,1,5,"Other",NA,NA
474,2,4,1,2,2,1,5,"Other",NA,NA
474,2,4,1,2,2,1,5,"Other",NA,NA
61,1,4,2,2,6,3,17,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
4492,1,14,2,2,6,1,17,"Other",NA,NA
48,2,4,1,2,7,1,5,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
474,2,4,1,2,2,1,5,"Other",NA,NA
5648,37,418,57,26,129,29,23,"Other",NA,NA
1342,98,122,98,125,180,150,113,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
2378,2,15,4,48,356,25,23,"Other",NA,NA
1033,2,61,4,64,126,7,23,"Other",NA,NA
991,37,52,57,26,107,29,23,"Other",NA,NA
4496,2,15,98,48,356,25,23,"Other",NA,NA
4497,2,4,4,48,358,25,280,"Other",NA,NA
2378,2,15,4,48,356,25,23,"Other",NA,NA
2378,2,15,4,48,356,25,23,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
992,2,59,4,27,126,29,23,"Other",NA,NA
3961,2,29,4,27,10,25,24,"Other",NA,NA
709,2,29,4,105,131,24,57,"Other",NA,NA
699,37,52,57,26,129,29,23,"Other",NA,NA
1304,100,142,93,135,190,145,81,"Other",NA,NA
5648,37,418,57,26,129,29,23,"Other",NA,NA
3961,2,29,4,27,10,25,24,"Other",NA,NA
1033,2,61,4,64,126,7,23,"Other",NA,NA
4498,1,2,3,4,5,9,21,"Other",NA,NA
1033,2,61,4,64,126,7,23,"Other",NA,NA
991,37,52,57,26,107,29,23,"Other",NA,NA
2354,37,4,4,48,13,25,23,"Other",NA,NA
4499,98,359,98,125,180,150,113,"Other",NA,NA
991,37,52,57,26,107,29,23,"Other",NA,NA
1324,99,128,91,125,170,146,111,"Other",NA,NA
710,37,29,75,48,126,25,23,"Other",NA,NA
1342,98,122,98,125,180,150,113,"Other",NA,NA
2537,17,2,8,5,8,2,143,"Other",NA,NA
177,17,2,8,5,8,2,4,"Other",NA,NA
177,17,2,8,5,8,2,4,"Other",NA,NA
2347,2,4,4,105,10,25,57,"Other",NA,NA
2354,37,4,4,48,13,25,23,"Other",NA,NA
681,35,43,9,5,8,46,21,"Other",NA,NA
696,2,1,4,28,58,25,58,"Other",NA,NA
2391,2,15,4,48,360,25,23,"Other",NA,NA
2349,2,59,4,48,131,24,57,"Other",NA,NA
1324,99,128,91,125,170,146,111,"Other",NA,NA
1324,99,128,91,125,170,146,111,"Other",NA,NA
692,37,52,57,26,127,29,23,"Other",NA,NA
2391,2,15,4,48,360,25,23,"Other",NA,NA
1324,99,128,91,125,170,146,111,"Other",NA,NA
2347,2,4,4,105,10,25,57,"Other",NA,NA
2391,2,15,4,48,360,25,23,"Other",NA,NA
137,4,7,10,4,42,7,1,"Other",NA,NA
696,2,1,4,28,58,25,58,"Other",NA,NA
5648,37,418,57,26,129,29,23,"Other",NA,NA
3961,2,29,4,27,10,25,24,"Other",NA,NA
977,22,61,4,64,74,25,23,"Other",NA,NA
693,2,29,4,48,13,24,57,"Other",NA,NA
4500,2,29,296,48,131,25,57,"Other",NA,NA
177,17,2,8,5,8,2,4,"Other",NA,NA
693,2,29,4,48,13,24,57,"Other",NA,NA
1324,99,128,91,125,170,146,111,"Other",NA,NA
1324,99,128,91,125,170,146,111,"Other",NA,NA
3961,2,29,4,27,10,25,24,"Other",NA,NA
208,26,2,9,51,8,46,5,"Other",NA,NA
693,2,29,4,48,13,24,57,"Other",NA,NA
710,37,29,75,48,126,25,23,"Other",NA,NA
692,37,52,57,26,127,29,23,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
53,2,1,21,3,2,1,5,"Other",NA,NA
1033,2,61,4,64,126,7,23,"Other",NA,NA
4501,237,2,254,340,433,349,290,"Other",NA,NA
1324,99,128,91,125,170,146,111,"Other",NA,NA
4499,98,359,98,125,180,150,113,"Other",NA,NA
1286,95,2,94,127,172,144,114,"Other",NA,NA
4502,37,52,21,388,127,29,23,"Other",NA,NA
2378,2,15,4,48,356,25,23,"Other",NA,NA
696,2,1,4,28,58,25,58,"Other",NA,NA
1255,22,146,4,64,74,25,23,"Other",NA,NA
42,1,2,3,4,5,9,3,"Other",NA,NA
53,2,1,21,3,2,1,5,"Other",NA,NA
992,2,59,4,27,126,29,23,"Other",NA,NA
699,37,52,57,26,129,29,23,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
2381,175,251,216,282,359,293,102,"Other",NA,NA
3663,175,6,216,282,261,7,3,"Other",NA,NA
2381,175,251,216,282,359,293,102,"Other",NA,NA
