"Location","Time","ST","n"
0,3,6,1
0,3,11,1
0,3,56,1
0,4,6,1
0,4,11,2
0,5,11,2
0,5,15,2
0,5,16,1
0,5,20,1
0,5,31,1
0,5,33,1
0,5,52,1
0,5,85,1
0,6,7,1
0,6,8,2
0,6,33,2
0,7,5,1
0,7,9,1
0,7,31,3
0,8,15,2
0,8,20,1
0,8,29,2
0,8,31,4
0,9,6,1
0,9,7,1
0,9,12,1
0,9,15,2
0,9,23,1
0,9,31,4
0,10,6,1
0,10,10,1
0,10,11,1
0,10,15,1
0,10,27,1
0,10,29,1
0,10,31,4
0,10,86,1
0,11,2,1
0,11,4,1
0,11,5,1
0,11,6,2
0,11,7,3
0,11,8,2
0,11,11,1
0,11,15,1
0,11,20,2
0,11,23,1
0,11,29,1
0,11,31,8
0,11,33,1
0,11,53,1
0,11,54,2
0,11,60,2
0,11,72,1
0,11,84,1
0,12,5,1
0,12,6,3
0,12,7,2
0,12,10,1
0,12,11,3
0,12,29,1
0,12,31,6
0,13,6,1
0,13,10,1
0,13,11,1
0,13,12,1
0,13,20,1
0,13,25,1
0,13,31,5
0,13,62,1
0,14,3,1
0,14,7,2
0,14,8,1
0,14,12,1
0,14,31,6
0,14,60,1
0,15,5,2
0,15,7,2
0,15,8,1
0,15,11,1
0,15,31,6
0,15,60,1
0,16,31,5
0,17,1,1
0,17,2,1
0,17,7,1
0,17,10,3
0,17,11,1
0,17,15,1
0,17,31,9
0,17,53,2
0,17,67,1
0,18,7,2
0,18,11,1
0,18,15,1
0,18,20,1
0,18,31,9
0,18,33,2
0,18,67,1
0,18,77,1
0,19,7,1
0,19,8,1
0,19,12,1
0,19,20,1
0,19,31,6
0,20,4,1
0,20,5,2
0,20,6,2
0,20,7,1
0,20,11,1
0,20,23,2
0,20,31,2
0,21,6,1
0,21,31,3
0,21,73,1
0,21,88,1
0,22,7,2
0,22,15,1
0,22,23,2
0,22,31,2
0,22,76,1
0,22,84,1
0,23,2,1
0,23,6,4
0,23,7,3
0,23,10,1
0,23,15,2
0,23,23,1
0,23,31,7
0,23,42,1
0,23,87,1
0,23,91,1
0,24,6,4
0,24,7,6
0,24,11,2
0,24,14,1
0,24,23,1
0,24,27,1
0,24,31,3
0,24,33,1
0,24,54,2
0,24,82,1
0,25,6,4
0,25,7,3
0,25,8,1
0,25,10,3
0,25,23,1
0,25,31,8
0,25,90,1
0,26,6,3
0,26,7,1
0,26,11,2
0,26,23,1
0,26,31,6
0,26,42,1
0,26,92,1
0,27,6,2
0,27,23,1
0,27,27,1
0,27,31,3
0,27,38,1
0,28,8,2
0,28,12,1
0,28,20,1
0,28,31,2
0,29,8,1
0,29,10,1
0,29,11,1
0,29,12,2
0,29,23,2
0,29,26,1
0,29,31,5
0,29,83,1
0,30,5,1
0,30,7,1
0,30,10,2
0,30,12,1
0,30,31,3
0,30,60,1
0,30,82,1
0,30,93,1
0,31,5,1
0,31,6,1
0,31,8,3
0,31,10,1
0,31,26,1
0,31,31,3
0,31,60,1
0,31,82,1
0,32,10,1
0,32,23,1
0,32,76,1
0,33,5,1
0,33,23,2
0,33,31,1
0,33,80,1
0,33,83,1
0,34,2,1
0,34,5,1
0,34,6,1
0,34,7,1
0,34,8,1
0,34,10,1
0,34,15,1
0,34,23,2
0,34,31,4
0,34,39,1
0,34,53,1
0,35,4,3
0,35,5,1
0,35,6,2
0,35,7,2
0,35,8,4
0,35,23,4
0,35,31,3
0,35,39,2
0,35,41,1
0,35,73,1
0,36,5,1
0,36,6,4
0,36,7,1
0,36,8,2
0,36,10,1
0,36,20,1
0,36,23,1
0,36,31,3
0,36,39,4
0,36,42,1
0,36,89,1
0,37,2,1
0,37,31,2
0,38,5,1
0,38,11,2
0,39,5,1
0,39,11,1
0,39,60,1
0,40,27,1
0,41,11,2
0,42,11,2
0,43,23,2
0,43,54,1
0,44,4,1
0,44,5,1
0,44,8,3
0,44,10,1
0,44,12,2
0,44,15,5
0,44,23,1
0,44,25,1
0,44,27,2
0,44,31,3
0,44,94,1
0,45,6,1
0,45,11,1
0,45,12,1
0,45,26,1
0,45,27,1
0,45,31,2
0,45,76,1
0,45,100,1
0,46,2,1
0,46,7,1
0,46,11,1
0,46,31,1
0,47,6,1
0,47,7,1
0,47,12,1
0,47,31,3
0,48,5,1
0,48,6,3
0,48,8,1
0,48,11,2
0,48,15,1
0,48,31,1
0,48,34,1
0,49,4,1
0,49,6,2
0,49,7,1
0,49,14,1
0,49,31,2
0,49,39,1
0,49,42,1
0,50,8,1
0,50,31,3
0,51,7,1
0,51,12,1
0,51,20,1
0,51,31,1
0,51,33,1
0,52,8,1
0,52,11,1
0,52,12,1
0,52,31,1
0,52,67,1
0,52,68,1
0,53,8,1
0,53,31,2
0,53,82,1
0,53,98,1
0,54,5,2
0,54,11,1
0,54,31,3
0,54,101,1
0,55,20,1
0,55,31,1
0,55,80,1
0,56,8,1
0,56,9,1
0,56,12,1
0,56,31,1
0,56,99,1
0,56,119,1
0,57,8,1
0,57,31,2
0,57,35,1
0,57,53,1
0,57,71,1
0,58,6,1
0,58,7,1
0,58,11,1
0,58,31,6
0,58,60,1
0,59,2,1
0,59,8,1
0,59,31,2
0,59,60,1
0,60,6,3
0,60,11,1
0,60,12,1
0,60,31,2
0,60,39,2
